"cluster","cluster_label","question_id","business_question","evidence_strength","cluster_evidence","recommended_conclusion","question_caveat","is_primary_question"
2,"C2","Q01","Que segmentos sostienen la demanda base?","Media","Mediana 5.7 kWh/d, riesgo alto 21.7%, valle 48.7%, beta_HDD 0.03.","Priorizar lectura residencial_eficiencia_social para C2","Validar antes de acciones individuales.",TRUE
2,"C2","Q02","Que segmentos concentran riesgo de punta?","Media","Mediana 5.7 kWh/d, riesgo alto 21.7%, valle 48.7%, beta_HDD 0.03.","Priorizar lectura residencial_eficiencia_social para C2","Validar antes de acciones individuales.",FALSE
2,"C2","Q03","Que segmentos son sensibles al frio?","Media","Mediana 5.7 kWh/d, riesgo alto 21.7%, valle 48.7%, beta_HDD 0.03.","Priorizar lectura residencial_eficiencia_social para C2","Validar antes de acciones individuales.",FALSE
2,"C2","Q04","Que segmentos muestran baja ocupacion?","Media","Mediana 5.7 kWh/d, riesgo alto 21.7%, valle 48.7%, beta_HDD 0.03.","Priorizar lectura residencial_eficiencia_social para C2","Validar antes de acciones individuales.",FALSE
2,"C2","Q05","Que segmentos requieren lectura social cautelosa?","Media","Mediana 5.7 kWh/d, riesgo alto 21.7%, valle 48.7%, beta_HDD 0.03.","Priorizar lectura residencial_eficiencia_social para C2","Validar antes de acciones individuales.",FALSE
2,"C2","Q06","Que segmentos deben entrar en forecasting operativo?","Media","Mediana 5.7 kWh/d, riesgo alto 21.7%, valle 48.7%, beta_HDD 0.03.","Priorizar lectura residencial_eficiencia_social para C2","Validar antes de acciones individuales.",FALSE
3,"C3","Q01","Que segmentos sostienen la demanda base?","Media","Representa 43.2% de la cartera, mediana 5.4 kWh/d, noche 13.6%, amplitud 0.33.","Priorizar lectura cartera_residencial_base para C3","Validar antes de acciones individuales.",TRUE
3,"C3","Q02","Que segmentos concentran riesgo de punta?","Media","Representa 43.2% de la cartera, mediana 5.4 kWh/d, noche 13.6%, amplitud 0.33.","Priorizar lectura cartera_residencial_base para C3","Validar antes de acciones individuales.",FALSE
3,"C3","Q03","Que segmentos son sensibles al frio?","Media","Representa 43.2% de la cartera, mediana 5.4 kWh/d, noche 13.6%, amplitud 0.33.","Priorizar lectura cartera_residencial_base para C3","Validar antes de acciones individuales.",FALSE
3,"C3","Q04","Que segmentos muestran baja ocupacion?","Media","Representa 43.2% de la cartera, mediana 5.4 kWh/d, noche 13.6%, amplitud 0.33.","Priorizar lectura cartera_residencial_base para C3","Validar antes de acciones individuales.",FALSE
3,"C3","Q05","Que segmentos requieren lectura social cautelosa?","Media","Representa 43.2% de la cartera, mediana 5.4 kWh/d, noche 13.6%, amplitud 0.33.","Priorizar lectura cartera_residencial_base para C3","Validar antes de acciones individuales.",FALSE
3,"C3","Q06","Que segmentos deben entrar en forecasting operativo?","Media","Representa 43.2% de la cartera, mediana 5.4 kWh/d, noche 13.6%, amplitud 0.33.","Priorizar lectura cartera_residencial_base para C3","Validar antes de acciones individuales.",FALSE
4,"C4","Q01","Que segmentos sostienen la demanda base?","Alta","beta_HDD 1.51, R2 clima 0.40, amplitud estacional 1.10, mediana 7.9 kWh/d.","Priorizar lectura climatizacion_invernal para C4","Validar antes de acciones individuales.",TRUE
4,"C4","Q02","Que segmentos concentran riesgo de punta?","Alta","beta_HDD 1.51, R2 clima 0.40, amplitud estacional 1.10, mediana 7.9 kWh/d.","Priorizar lectura climatizacion_invernal para C4","Validar antes de acciones individuales.",FALSE
4,"C4","Q03","Que segmentos son sensibles al frio?","Alta","beta_HDD 1.51, R2 clima 0.40, amplitud estacional 1.10, mediana 7.9 kWh/d.","Priorizar lectura climatizacion_invernal para C4","Validar antes de acciones individuales.",FALSE
4,"C4","Q04","Que segmentos muestran baja ocupacion?","Alta","beta_HDD 1.51, R2 clima 0.40, amplitud estacional 1.10, mediana 7.9 kWh/d.","Priorizar lectura climatizacion_invernal para C4","Validar antes de acciones individuales.",FALSE
4,"C4","Q05","Que segmentos requieren lectura social cautelosa?","Alta","beta_HDD 1.51, R2 clima 0.40, amplitud estacional 1.10, mediana 7.9 kWh/d.","Priorizar lectura climatizacion_invernal para C4","Validar antes de acciones individuales.",FALSE
4,"C4","Q06","Que segmentos deben entrar en forecasting operativo?","Alta","beta_HDD 1.51, R2 clima 0.40, amplitud estacional 1.10, mediana 7.9 kWh/d.","Priorizar lectura climatizacion_invernal para C4","Validar antes de acciones individuales.",FALSE
5,"C5","Q01","Que segmentos sostienen la demanda base?","Contextual","Mediana 2.8 kWh/d, amplitud 1.27, dias bajos 38.4%, dias cero 12.1%.","Priorizar lectura uso_estacional_bajo para C5","Validar antes de acciones individuales.",TRUE
5,"C5","Q02","Que segmentos concentran riesgo de punta?","Contextual","Mediana 2.8 kWh/d, amplitud 1.27, dias bajos 38.4%, dias cero 12.1%.","Priorizar lectura uso_estacional_bajo para C5","Validar antes de acciones individuales.",FALSE
5,"C5","Q03","Que segmentos son sensibles al frio?","Contextual","Mediana 2.8 kWh/d, amplitud 1.27, dias bajos 38.4%, dias cero 12.1%.","Priorizar lectura uso_estacional_bajo para C5","Validar antes de acciones individuales.",FALSE
5,"C5","Q04","Que segmentos muestran baja ocupacion?","Contextual","Mediana 2.8 kWh/d, amplitud 1.27, dias bajos 38.4%, dias cero 12.1%.","Priorizar lectura uso_estacional_bajo para C5","Validar antes de acciones individuales.",FALSE
5,"C5","Q05","Que segmentos requieren lectura social cautelosa?","Contextual","Mediana 2.8 kWh/d, amplitud 1.27, dias bajos 38.4%, dias cero 12.1%.","Priorizar lectura uso_estacional_bajo para C5","Validar antes de acciones individuales.",FALSE
5,"C5","Q06","Que segmentos deben entrar en forecasting operativo?","Contextual","Mediana 2.8 kWh/d, amplitud 1.27, dias bajos 38.4%, dias cero 12.1%.","Priorizar lectura uso_estacional_bajo para C5","Validar antes de acciones individuales.",FALSE
6,"C6","Q01","Que segmentos sostienen la demanda base?","Alta","Mediana 26.4 kWh/d, valle 70.8%, noche 46.4%, beta_HDD 1.29.","Priorizar lectura consumo_nocturno_intensivo para C6","Validar antes de acciones individuales.",TRUE
6,"C6","Q02","Que segmentos concentran riesgo de punta?","Alta","Mediana 26.4 kWh/d, valle 70.8%, noche 46.4%, beta_HDD 1.29.","Priorizar lectura consumo_nocturno_intensivo para C6","Validar antes de acciones individuales.",FALSE
6,"C6","Q03","Que segmentos son sensibles al frio?","Alta","Mediana 26.4 kWh/d, valle 70.8%, noche 46.4%, beta_HDD 1.29.","Priorizar lectura consumo_nocturno_intensivo para C6","Validar antes de acciones individuales.",FALSE
6,"C6","Q04","Que segmentos muestran baja ocupacion?","Alta","Mediana 26.4 kWh/d, valle 70.8%, noche 46.4%, beta_HDD 1.29.","Priorizar lectura consumo_nocturno_intensivo para C6","Validar antes de acciones individuales.",FALSE
6,"C6","Q05","Que segmentos requieren lectura social cautelosa?","Alta","Mediana 26.4 kWh/d, valle 70.8%, noche 46.4%, beta_HDD 1.29.","Priorizar lectura consumo_nocturno_intensivo para C6","Validar antes de acciones individuales.",FALSE
6,"C6","Q06","Que segmentos deben entrar en forecasting operativo?","Alta","Mediana 26.4 kWh/d, valle 70.8%, noche 46.4%, beta_HDD 1.29.","Priorizar lectura consumo_nocturno_intensivo para C6","Validar antes de acciones individuales.",FALSE
